Question,Answer,Question_Hindi,Answer_Hindi
What should be done before pumping in disused shafts?,"Prior information should be sent to the DGMS, and pumping shall not be started without making arrangements for mechanical ventilation.",परित्यक्त शाफ्टों में पंपिंग शुरू करने से पहले क्या किया जाना चाहिए?,डीजीएमएस को पूर्व सूचना भेजनी चाहिए और यांत्रिक वेंटिलेशन की व्यवस्था किए बिना पंपिंग शुरू नहीं की जानी चाहिए।
What is required when making substitute appointments for assistant managers and surveyors?,Substitute appointments of assistant managers and surveyors should be made within two weeks of the permanent incumbent leaving the service of the mine.,स्थानापन्न नियुक्तियाँ करते समय क्या आवश्यक होता है?,सहायक प्रबंधकों की स्थानापन्न नियुक्तियों को सक्षम प्राधिकारी द्वारा अनुमोदित किया जाना चाहिए।
What are the requirements for reporting every big or major roof fall?,"A report of every big or major roof fall in a mine should be furnished to the concerned Joint Director of Mines Safety within 24 hours of the occurrence, including all relevant particulars along with a sketch plan showing the site and dimensions of the fall.",हर बड़े छत गिरने की घटना की रिपोर्टिंग की क्या आवश्यकताएं हैं?,हर बड़ी या प्रमुख छत गिरने की रिपोर्ट डीजीएमएस को प्रस्तुत की जानी चाहिए।
What should be included in standing orders for emergencies in mines?,"Each mine should draw up a standard procedure for emergencies, including instructions for different categories of staff, and ensure regular mock rehearsals of these standing orders every three to six months.",माइन बचाव कार्य के लिए स्थायी आदेशों में क्या शामिल होना चाहिए?,प्रत्येक खदान को मानक प्रक्रिया और जिम्मेदारियों के साथ स्थायी आदेश तैयार करने चाहिए।
What should be done in case of sudden death in a mine due to heart failure?,"A post-mortem examination should be conducted, and a copy of the post-mortem report should be submitted to DGMS as soon as possible.",खदान में अचानक मृत्यु की स्थिति में क्या किया जाना चाहिए?,"पोस्टमार्टम जांच कराई जानी चाहिए, और स्थानीय अधिकारियों को तुरंत सूचित किया जाना चाहिए।"
How should notices of accidents be filled in?,"Accident notice forms should be filled in carefully on the basis of inquiries conducted, and they must include clear information about the cause and description of the accident to facilitate effective accident prevention.",सुरक्षा उपकरणों पर 'खानों में उपयोग के लिए उपयुक्त' घोषणा का क्या महत्व है?,"यह घोषणा सुनिश्चित करती है कि सुरक्षा उपकरण बीआईएस मानकों के अनुरूप हैं और कोयला, धात्विक व तेल खदानों में उपयोग के लिए डीजीएमएस की स्वीकृति के बिना मान्य हैं।"
n case of minor accidents involving five or more persons?,"Minor accidents involving five or more persons must be reported immediately to the DGMS,",स्वीकृत सुरक्षा उपकरणों की सूची कहां से प्राप्त की जा सकती है?,डीजीएमएस की वेबसाइट पर सभी स्वीकृत सुरक्षा उपकरणों की अद्यतन सूची उपलब्ध है।
What actions should be taken in case of major underground accidents?,"Each mine should have a standard procedure for emergencies, with standing orders that must be updated regularly. Mock rehearsals should also be conducted every three to six months.",सुरक्षा कैप लैम्प के संबंध में क्या आवश्यक है?,सुरक्षा कैप लैम्प को डीजीएमएस से अनुमोदित होना चाहिए और विशिष्ट मानकों का पालन करना चाहिए।
What information must be included in accident notices to DGMS?,"Accident notices must include clear details about the location, cause, and description of the accident, specifying if it occurred in an underground, opencast, or surface area.",किसी कार्य स्थल पर काम शुरू करने से पहले क्या सुनिश्चित किया जाना चाहिए?,"यह सुनिश्चित किया जाना चाहिए कि कार्य स्थल संरक्षित और सुरक्षित है, और सभी आवश्यक अनुमतियाँ प्राप्त हैं।"
What are the requirements for post-mortem examinations in mining accidents?,Post-mortem examinations are required for any death in the mine to determine whether it was due to natural causes or related to mining operations. The report should be submitted to DGMS.,गैस विस्फोटों को रोकने के लिए क्या उपाय किए जाने चाहिए?,"उचित वेंटिलेशन, गैस की निगरानी, और सुरक्षित इलेक्ट्रिकल उपकरणों का उपयोग आवश्यक है।"
How should medical officers handle sudden deaths in mines?,Medical officers should avoid attributing sudden deaths to heart failure without a post-mortem. They should advise a post-mortem examination in all cases of sudden death.,माइन सरफेस पर प्रकाश व्यवस्था के लिए क्या निर्देश हैं?,रात के समय पर्याप्त प्रकाश की व्यवस्था होनी चाहिए ताकि सुरक्षा सुनिश्चित की जा सके।
What details are essential in a notice of accident involving serious injury?,"The notice must include precise information such as the location, description of the occurrence, the nature of injuries, and the conditions leading to the accident.",गैसीय खदानों में कार्य करते समय किन बातों का ध्यान रखना चाहिए?,"गैस की लगातार निगरानी, उचित वेंटिलेशन और गैस डिटेक्टर का उपयोग किया जाना चाहिए।"
What should mine management do when the roof falls without causing serious accidents?,"A report should be submitted to the concerned Joint Director of Mines Safety within 24 hours, including a sketch plan and action taken to address the issue.",माइन फायर से निपटने के लिए क्या तैयारियां होनी चाहिए?,"फायर फाइटिंग उपकरण, प्रशिक्षित स्टाफ और इमरजेंसी योजना आवश्यक है।"
How is 'cause' defined in accident inquiry reports?,"'Cause' should be comprehensive, providing a clear picture of the occurrence, and compatible with the rest of the report. It should be written in correct language, concise but detailed enough for understanding.",अस्थायी बंद खदान को फिर से शुरू करने से पहले क्या किया जाना चाहिए?,"सुरक्षा ऑडिट, संरचनात्मक निरीक्षण और डीजीएमएस से अनुमोदन आवश्यक है।"
What precautions should be taken during substitute appointments of mine officials?,"Substitute appointments should be made within two weeks of the departure of an assistant manager or surveyor, and proper notice of the appointment or termination must be given.",मजदूरों के लिए PPE क्यों जरूरी है?,PPE उन्हें खतरनाक वातावरण से बचाने में मदद करता है और सुरक्षा सुनिश्चित करता है।
How should managers conduct accident inquiries?,"Accident inquiries must be thorough, with senior officers analyzing the findings. Proper reporting and analysis should be done to identify areas that need attention and prevent recurrence.",उपकरणों की नियमित जांच क्यों जरूरी है?,समय-समय पर जांच से खराबी का पता चलता है और दुर्घटनाएं रोकी जा सकती हैं।
What instructions are given for substitute appointments of assistant managers and surveyors?,Substitutes must be appointed within two weeks when an assistant manager or surveyor's services are terminated. It is also necessary to notify the authorities of these changes promptly.,गैस डिटेक्टर का उपयोग कैसे किया जाता है?,गैस डिटेक्टर वायुमंडल में हानिकारक गैसों की उपस्थिति का संकेत देते हैं और आवश्यक अलार्म जारी करते हैं।
What are the reporting requirements for roof falls that do not cause serious accidents?,A report including relevant particulars and a sketch plan showing the site and dimensions of the fall must be submitted within 24 hours to the Joint Director of Mines Safety.,खनन कार्य के दौरान शोर को कैसे नियंत्रित किया जा सकता है?,"ध्वनि अवरोधक उपकरण, नियमित रखरखाव और नियोजित विस्फोट तकनीक उपयोग की जाती है।"
What should be included in a medical certificate for mine workers?,"A medical certificate should confirm that the worker is free from deafness, defective vision, or other infirmities that might interfere with work efficiency.",खदान में पानी भरने की स्थिति में क्या करना चाहिए?,तत्काल पंपिंग की व्यवस्था और निकासी योजना लागू करनी चाहिए।
What is the protocol for reporting overwinding incidents?,"Notice in Form IV-A should be furnished whenever there is an overwinding of cages while men are being lowered or raised, in accordance with the Mines Act, 1952.",किसी दुर्घटना के बाद सबसे पहला कदम क्या होना चाहिए?,प्रभावित श्रमिकों को सुरक्षित स्थान पर लाना और प्राथमिक चिकित्सा देना।
